Nama Wisata,Deskripsi,Lokasi / Tempat,Fasilitas Yang Tersedia,Aksesibilitas,Jenis Wisata,Kategori,Child Friendly,Alamat,Link Alamat,Harga,Rentang Harga,Rating,latitude,longitude
Pantai Teluk Bidadari,"Pantai Teluk Bidadari terletak di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini terkenal dengan keunikan lubang besar di batu karang yang dikenal sebagai ""Teluk Bidadari,"" tempat air laut mengalir masuk dan keluar, menciptakan pemandangan yang mempesona. Pasir putih dan air laut yang jernih menambah keindahan pantai ini. Teluk Bidadari juga menjadi tempat yang ideal untuk berenang dan snorkeling. Fasilitas yang tersedia termasuk area parkir dan warung makan.","Desa Bandungrejo, Bantur","Tempat parkir, Warung makan, Toilet, Mushola,","makadam, roda 2 dan 4",Pantai,"Family, Solo",Yes,"Sumber Rejo, Bandungrejo, Bantur, Kabupaten Malang, East Java 65179","https://www.google.com/maps/place/Pantai+Mbehi/@-8.4022358,112.4955535,15z/data=!4m10!1m2!2m1!1spantai+teluk+bidadari!3m6!1s0x2e78aebe8de7c39f:0x952f7708d5e2ddd2!8m2!3d-8.4022358!4d112.5043082!15sChVwYW50YWkgdGVsdWsgYmlkYWRhcmlaFyIVcGFudGFpIHRlbHVrIGJpZGFkYXJpkgEFYmVhY2iaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlJhbVpoTTFWUkVBReABAA!16s%2Fg%2F11cmzgsnwy?entry=ttu",10000,2,3.9,-8.4022358,112.4955535
Pantai Bantol,"Pantai Bantol berlokasi di Desa Sumberceleng, Kecamatan Donomulyo, Malang, Jawa Timur. Pantai ini menawarkan suasana alami dengan pasir putih dan air laut yang jernih. Dikelilingi oleh hutan bakau dan tebing-tebing karang, Pantai Bantol memberikan pengalaman alam yang tenang dan damai. Ombak di pantai ini relatif tenang, membuatnya cocok untuk berenang dan snorkeling. Fasilitas di pantai ini termasuk area parkir dan beberapa warung makan sederhana.","Desa Banjarejo, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Penginapan","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Dusun Sumberceleng, Desa, Banjarejo, Kec. Donomulyo, Kabupaten Malang, Jawa Timur 65167","https://www.google.com/maps/place/Pantai+Bantol/@-8.395161,112.4521222,15z/data=!3m1!4b1!4m6!3m5!1s0x2e78ae38bb643dc3:0xb21dbaa8123f9a63!8m2!3d-8.3951611!4d112.4521222!16s%2Fg%2F11bbqsl___?entry=ttu",25000,3,4.6,-8.3951610,112.4521222
Pantai Gunung Kombang,"Pantai Gunung Kombang terletak di Desa Srigonco, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini menawarkan pemandangan yang menakjubkan dengan tebing-tebing karang yang menjulang tinggi di sekitar pantai. Pasir putih yang lembut dan air laut yang jernih menjadikan pantai ini tempat yang ideal untuk bersantai dan menikmati keindahan alam. Ombak di pantai ini cukup besar, sehingga cocok untuk surfing. Fasilitas yang tersedia di Pantai Gunung Kombang meliputi area parkir dan warung makan.","Desa Kedungsalam, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Area camping, Pemandangan","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"JC7G+97X, Hutan, Kedungsalam, Kec. Donomulyo, Kabupaten Malang, Jawa Timur 65167","https://www.google.com/maps/place/Wisata+Gunung+Kombang/@-8.3858571,112.4250043,17z/data=!4m10!1m2!2m1!1sPantai+gunung+kombang!3m6!1s0x2e78b1700e24e451:0x3ff21876931ee69f!8m2!3d-8.3865186!4d112.42574!15sChVQYW50YWkgZ3VudW5nIGtvbWJhbmdaFyIVcGFudGFpIGd1bnVuZyBrb21iYW5nkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU41Y0hKSGQzUm5SUkFC4AEA!16s%2Fg%2F11mvgnhy3l?entry=ttu",15000,2,4.2,-8.3858571,112.4250043
Pantai Ngliyep,"Pantai Ngliyep terletak di Desa Kedungsalam, Kecamatan Donomulyo, Malang, Jawa Timur. Pantai ini terkenal dengan pasir putihnya yang lembut dan air laut yang jernih, cocok untuk berenang dan bermain air. Dikelilingi oleh perbukitan hijau dan hutan lebat, Pantai Ngliyep menawarkan pemandangan alam yang memukau dan suasana yang tenang. Fasilitas yang tersedia cukup lengkap, termasuk area parkir, toilet, dan warung makan. Pantai ini juga menjadi tempat yang populer untuk melihat sunset.","Desa Kedungsalam, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Penginapan, Penyewaan ATV, Banana boat, Jet ski, Snorkeling","aspal, kendaraan roda 2 dan 4, bus",Pantai,"Family, Solo",Yes,"Desa, Hutan, Kedungsalam, Kec. Donomulyo, Kabupaten Malang, Jawa Timur 65167","https://www.google.com/maps/place/Pantai+Ngliyep+Malang/@-8.3835873,112.4242054,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78affaaaaaaaab:0x18eafdd0d21b044e!8m2!3d-8.3835873!4d112.4242054!16s%2Fg%2F11bbqy13dc?entry=ttu",15000,2,4.5,-8.3835873,112.4242054
Pantai Pasir Panjang,"Pantai Pasir Panjang berlokasi di Desa Sidoasri, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini memiliki hamparan pasir putih yang luas dan air laut yang biru jernih, menciptakan pemandangan yang sangat memukau. Ombak di pantai ini cukup besar, sehingga cocok untuk surfing dan berbagai aktivitas air lainnya. Dikelilingi oleh perbukitan dan pepohonan hijau, Pantai Pasir Panjang menawarkan suasana yang asri dan menyegarkan. Fasilitas di pantai ini meliputi area parkir dan warung makan.","Desa Kedungsalam, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Penginapan, Penangkaran penyu","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"JC9C+G55, Hutan, Kedungsalam, Kec. Donomulyo, Kabupaten Malang, Jawa Timur 65167","https://www.google.com/maps/place/Pantai+Pasir+Panjang+%EA%A6%A5%EA%A6%BC%EA%A6%B1%EA%A6%B6%EA%A6%B1%EA%A6%B6%EA%A6%82%EA%A6%AE%EA%A6%BC%EA%A6%9E%EA%A6%B6%EA%A6%A2%EA%A6%AE/@-8.3812357,112.2803998,11z/data=!4m10!1m2!2m1!1sPantai+pasir+Panjang+Beach+malang!3m6!1s0x2e78b02ce0952f11:0xdbe914b3d6c27c16!8m2!3d-8.3812357!4d112.4204755!15sCiFQYW50YWkgcGFzaXIgUGFuamFuZyBCZWFjaCBtYWxhbmdaIyIhcGFudGFpIHBhc2lyIHBhbmphbmcgYmVhY2ggbWFsYW5nkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF0T1hKNVEwWm5FQUXgAQA!16s%2Fg%2F11cn0qgd8r?entry=ttu",25000,3,4.5,-8.3812357,112.2803998
Pantai Jonggring Saloko,"Pantai Jonggring Saloko terletak di Desa Mentaraman, Kecamatan Donomulyo, Malang, Jawa Timur. Pantai ini dikenal dengan fenomena alam ""Blow Hole,"" di mana air laut menyembur keluar dari lubang di batu karang dengan suara keras. Pasir putih dan air laut yang jernih menambah daya tarik pantai ini. Ombak yang besar membuat pantai ini cocok untuk surfing. Fasilitas yang tersedia di Pantai Jonggring Saloko meliputi area parkir dan warung makan.","Desa Mentaraman, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","aspal, kendaraan roda 2 dan 4, bus",Pantai,"Family, Solo",Yes,"J9CW+5CH, Desa Mentaraman, Donomulyo, Kabupaten Malang, Jawa Timur 65167","https://www.google.com/maps/place/Pantai+Jonggring+Saloko/@-8.3795624,112.3961021,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78b04dcd8a3f91:0xebae58c8de5301b8!8m2!3d-8.3795624!4d112.3961021!16s%2Fg%2F11bbqgzpvp?entry=ttu\",10000,2,4.4,-8.3795624,112.3961021
Pantai Nglurung,"Pantai Nglurung berlokasi di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini menawarkan keindahan alam dengan pasir putih dan air laut yang biru kehijauan. Dikelilingi oleh tebing-tebing tinggi dan pepohonan hijau, Pantai Nglurung menciptakan suasana yang tenang dan alami. Ombak di pantai ini cukup tenang, cocok untuk berenang dan snorkeling. Fasilitas di pantai ini termasuk area parkir dan warung makan.","Desa Mentaraman, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","makadam, kendaraan",Pantai,"Family, Solo",Yes,"JCF5+279, Gondang Rejo, Kedungsalam, Kec. Donomulyo, Kabupaten Malang, Jawa Timur 65167","https://www.google.com/maps/place/Nglurung+Beach/@-8.3795624,112.3961021,13z/data=!4m10!1m2!2m1!1sPantai+Nglurung!3m6!1s0x2e78b036629873fd:0x8088ae51719102c8!8m2!3d-8.3774715!4d112.4082456!15sCg9QYW50YWkgTmdsdXJ1bmeSARJ0b3VyaXN0X2F0dHJhY3Rpb27gAQA!16s%2Fg%2F11cm_5r03h?entry=ttu",10000,2,4.3,-8.3795624,112.3961021
Pantai Kondang Bandung,"Pantai Kondang Bandung terletak di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini memiliki pasir putih yang lembut dan air laut yang jernih, membuatnya ideal untuk berenang dan bersantai. Dikelilingi oleh hutan bakau dan pepohonan hijau, Pantai Kondang Bandung menawarkan suasana yang asri dan alami. Ombak di pantai ini cukup tenang, cocok untuk snorkeling. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Purwodadi, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Sumberrejo, Purwodadi, Donomulyo, Kabupaten Malang, East Java","https://www.google.com/maps/place/Pantai+Kondang+Bandung/@-8.3722147,112.3887586,15z/data=!3m1!4b1!4m6!3m5!1s0x2e78b05a37a26f4b:0xf663b9d5fc5b7281!8m2!3d-8.3722148!4d112.3887586!16s%2Fg%2F1q6153gll?entry=ttu",15000,2,4.5,-8.3722147,112.3887586
Pantai Modangan,"Pantai Modangan berlokasi di Desa Sumberoto, Kecamatan Donomulyo, Malang, Jawa Timur. Pantai ini memiliki pasir putih yang luas dan air laut yang biru kehijauan, menciptakan pemandangan yang sangat mempesona. Ombak di pantai ini cukup besar, sehingga cocok untuk surfing. Pantai Modangan juga terkenal dengan pemandangan sunset yang indah. Fasilitas di pantai ini meliputi area parkir dan warung makan.","Desa Sumberroto, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Penginapan, Penyewaan perahu, Kegiatan wisata air","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Sumberrejo, Sumberoto, Donomulyo, Kabupaten Malang, East Java 65167","https://www.google.com/maps/place/Modangan+Beach/@-8.3488685,112.3590898,15z/data=!3m1!4b1!4m6!3m5!1s0x2e78ba9555555555:0x3af2cf1ed2b6dcf!8m2!3d-8.3488687!4d112.3590898!16s%2Fg%2F1q61ccf63?entry=ttu",20000,3,4.3,-8.3488685,112.3590898
Pantai Kondang Iwak,"Pantai Kondang Iwak terletak di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini menawarkan suasana yang tenang dengan pasir putih yang lembut dan air laut yang jernih. Dikelilingi oleh hutan bakau dan pepohonan hijau, Pantai Kondang Iwak menciptakan suasana yang asri dan alami. Ombak di pantai ini cukup tenang, cocok untuk berenang dan snorkeling. Fasilitas yang tersedia di pantai ini meliputi area parkir dan warung makan.","Desa Tulungrejo, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Dusun Sumberpucung, Desa Tulungrejo, Kecamatan Donomulyo, Kabupaten Malang, Jawa Timur. ","https://www.google.com/maps/place/Kondang+Iwak+Beach/@-8.3949647,112.4775295,16z/data=!4m14!1m7!3m6!1s0x2e78aef46e70b1fb:0x950e0e80c555d9d5!2sKondang+Iwak+Beach!8m2!3d-8.3956037!4d112.4815967!16s%2Fg%2F1q620sc2j!3m5!1s0x2e78aef46e70b1fb:0x950e0e80c555d9d5!8m2!3d-8.3956037!4d112.4815967!16s%2Fg%2F1q620sc2j?entry=ttu",0,0,4.4,-8.3949647,112.4775295
Pantai Seling Ombo,"Pantai Seling Ombo berlokasi di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini memiliki pasir putih yang luas dan air laut yang biru jernih, menciptakan pemandangan yang sangat mempesona. Ombak di pantai ini cukup besar, sehingga cocok untuk surfing dan berbagai aktivitas air lainnya. Dikelilingi oleh perbukitan dan pepohonan hijau, Pantai Seling Ombo menawarkan suasana yang asri dan menyegarkan. Fasilitas di pantai ini meliputi area parkir dan warung makan.","Desa Banjarero, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","makadam, roda 2 & 4",Pantai,"Family, Solo",Yes,"JF34+MXJ, Sendang Kamulyan, Banjarejo, Kec. Donomulyo, Kabupaten Malang, Jawa Timur 65167","https://www.google.com/maps/place/Pantai+Seling+Ombo+%EA%A6%A5%EA%A6%BC%EA%A6%B1%EA%A6%B6%EA%A6%B1%EA%A6%B6%EA%A6%82%EA%A6%B1%EA%A6%BC%EA%A6%AD%EA%A6%B6%EA%A6%81%EA%A6%84%EA%A6%A9%EA%A7%80%EA%A6%A7/@-8.3957947,112.4573821,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78ae41354ba21d:0x24e9821bb4985309!8m2!3d-8.3957947!4d112.4573821!16s%2Fg%2F11cn0pq0sn?entry=ttu",10000,2,4.4,-8.3957947,112.4573821
Pantai Pulo Doro,"Pantai Pulo Doro terletak di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini memiliki keunikan dengan adanya pulau kecil di tengah laut yang bisa dicapai dengan berjalan kaki saat air surut. Pasir putih dan air laut yang jernih menambah keindahan pantai ini. Ombak yang cukup besar membuat pantai ini cocok untuk surfing. Fasilitas yang tersedia di Pantai Pulo Doro meliputi area parkir dan warung makan.","Desa Banjarero, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Area camping, Pemandangan","makadam, roda 2 & 4",Pantai,"Family, Solo",Yes,"Hutan, Kedungsalam, Donomulyo, Kabupaten Malang, East Java 65167","https://www.google.com/maps/place/Pantai+Pulodoro/@-8.3972392,112.4461231,15z/data=!3m1!4b1!4m6!3m5!1s0x2e78ae3c10cb6949:0x3ce45dd873388b5d!8m2!3d-8.3972394!4d112.4461231!16s%2Fg%2F11bxd7m4xp?entry=ttu",10000,2,4.2,-8.3972393,112.4461231
Pantai Kedung Celeng,"Pantai Kedung Celeng berlokasi di Desa Banjarejo, Kecamatan Donomulyo, Malang, Jawa Timur. Pantai ini menawarkan keindahan alam yang asri dengan pasir putih dan air laut yang biru kehijauan. Dikelilingi oleh tebing-tebing tinggi dan pepohonan hijau, Pantai Kedung Celeng menciptakan suasana yang tenang dan alami. Ombak di pantai ini cukup tenang, cocok untuk berenang dan snorkeling. Fasilitas yang tersedia di pantai ini meliputi area parkir dan warung makan.","Desa Banjarero, Donomulyo","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","makadam, roda 2 & 4",Pantai,"Family, Solo",Yes,"Jalan Raya Banjarejo, Kedungsalam, Donomulyo, Hutan, Kedungsalam, Kec. Donomulyo, Kabupaten Malang, Jawa Timur 65167","https://www.google.com/maps/place/Pantai+Kedung+Celeng/@-8.3955001,112.4496526,15z/data=!3m1!4b1!4m6!3m5!1s0x2e78ae392676bd87:0x269fb227d4593b8c!8m2!3d-8.3955002!4d112.4496526!16s%2Fg%2F11cjhz5j0c?entry=ttu",5000,1,4.5,-8.3955001,112.4496526
